r -> 4
rb -> 4
u -> 4
ub -> 4
l -> 4
lb -> 4
d -> 4
db -> 4
f -> 4
fb -> 4
b -> 4
bb -> 4
r -> 4
rb -> 4
u -> 4
ub -> 4
l -> 4
lb -> 4
d -> 4
db -> 4
f -> 4
fb -> 4
b -> 4
bb -> 4
db bb d -> 12
db bb db -> 90
db bb f -> 540
db bb fb -> 270
db bb b -> 12
db bb bb -> 90
f r r -> 90
f r rb -> 12
f r u -> 240
f r ub -> 180
f r l -> 270
f r lb -> 540
f r d -> 252
f r db -> 1080
f r f -> 90
f r fb -> 12
f r b -> 270
f r bb -> 540
f rb r -> 12
f rb rb -> 90
f rb u -> 180
f rb ub -> 1080
f rb l -> 540
f rb lb -> 270
f rb d -> 1080
f rb db -> 180
f rb f -> 90
f rb fb -> 12
f rb b -> 270
f rb bb -> 540
f u r -> 252
f u rb -> 1080
f u u -> 90
f u ub -> 12
f u l -> 240
f u lb -> 180
f u d -> 270
f u db -> 540
f u f -> 90
f u fb -> 12
f u b -> 270
f u bb -> 540
f ub r -> 1080
f ub rb -> 180
f ub u -> 12
f ub ub -> 90
f ub l -> 180
f ub lb -> 1080
f ub d -> 540
f ub db -> 270
f ub f -> 90
f ub fb -> 12
f ub b -> 270
f ub bb -> 540
f l r -> 270
f l rb -> 540
f l u -> 252
f l ub -> 1080
f l l -> 90
f l lb -> 12
f l d -> 240
f l db -> 180
f l f -> 90
f l fb -> 12
f l b -> 270
f l bb -> 540
f lb r -> 540
f lb rb -> 270
f lb u -> 1080
f lb ub -> 180
f lb l -> 12
f lb lb -> 90
f lb d -> 180
f lb db -> 1080
f lb f -> 90
f lb fb -> 12
f lb b -> 270
f lb bb -> 540
f d r -> 240
f d rb -> 180
f d u -> 270
f d ub -> 540
f d l -> 252
f d lb -> 1080
f d d -> 90
f d db -> 12
f d f -> 90
f d fb -> 12
f d b -> 270
f d bb -> 540
f db r -> 180
f db rb -> 1080
f db u -> 540
f db ub -> 270
f db l -> 1080
f db lb -> 180
f db d -> 12
f db db -> 90
f db f -> 90
f db fb -> 12
f db b -> 270
f db bb -> 540
f f r -> 90
f f rb -> 90
f f u -> 90
f f ub -> 90
f f l -> 90
f f lb -> 90
f f d -> 90
f f db -> 90
f f f -> 12
f f fb -> 12
f f b -> 12
f f bb -> 12
f fb r -> 12
f fb rb -> 12
f fb u -> 12
f fb ub -> 12
f fb l -> 12
f fb lb -> 12
f fb d -> 12
f fb db -> 12
f fb f -> 12
f fb fb -> 12
f fb b -> 12
f fb bb -> 12
f b r -> 270
f b rb -> 270
f b u -> 270
f b ub -> 270
f b l -> 270
f b lb -> 270
f b d -> 270
f b db -> 270
f b f -> 12
f b fb -> 12
f b b -> 12
f b bb -> 12
f bb r -> 540
f bb rb -> 540
f bb u -> 540
f bb ub -> 540
f bb l -> 540
f bb lb -> 540
f bb d -> 540
f bb db -> 540
f bb f -> 12
f bb fb -> 12
f bb b -> 12
f bb bb -> 12
fb r r -> 90
fb r rb -> 12
fb r u -> 180
fb r ub -> 1080
fb r l -> 270
fb r lb -> 540
fb r d -> 1080
fb r db -> 180
fb r f -> 12
fb r fb -> 90
fb r b -> 540
fb r bb -> 270
fb rb r -> 12
fb rb rb -> 90
fb rb u -> 1080
fb rb ub -> 252
fb rb l -> 540
fb rb lb -> 270
fb rb d -> 180
fb rb db -> 240
fb rb f -> 12
fb rb fb -> 90
fb rb b -> 540
fb rb bb -> 270
fb u r -> 1080
fb u rb -> 180
fb u u -> 90
fb u ub -> 12
fb u l -> 180
fb u lb -> 1080
fb u d -> 270
fb u db -> 540
fb u f -> 12
fb u fb -> 90
fb u b -> 540
fb u bb -> 270
fb ub r -> 180
fb ub rb -> 240
fb ub u -> 12
fb ub ub -> 90
fb ub l -> 1080
fb ub lb -> 252
